,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
10,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han",5 wins & 12 nominations.,176591618,"USA, China",5-Oct-10,Harald Zwart,"Action, Drama, Family","English, Mandarin",61.0,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",https://m.media-amazon.com/images/M/MV5BMTQ0ODg3ODEyMF5BMl5BanBnXkFtZTcwNjI1MTgxMw@@._V1_SX300.jpg,Sony Pictures,PG,11-Jun-10,TRUE,65,140,The Karate Kid,http://www.sonypictures.com/movies/thekaratekid/,"Christopher Murphey (screenplay), Robert Mark Kamen (story)",2010,tt1155076,6.2,139422,11,-1.0
11,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",Nominated for 1 Oscar. Another 10 wins & 49 nominations.,172051787,USA,5-Apr-11,Joseph Kosinski,"Action, Adventure, Sci-Fi",English,49.0,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,https://m.media-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg,Walt Disney Pictures,PG,17-Dec-10,TRUE,51,125,TRON: Legacy,http://Disney.com/TRON,"Edward Kitsis (screenplay), Adam Horowitz (screenplay), Edward Kitsis (story), Adam Horowitz (story), Brian Klugman (story), Lee Sternthal (story), Steven Lisberger (characters), Bonnie MacBird (characters)",2010,tt1104001,6.8,288220,12,-1.0
12,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",Nominated for 10 Oscars. Another 37 wins & 153 nominations.,171031347,USA,7-Jun-11,"Ethan Coen, Joel Coen","Adventure, Drama, Western",English,80.0,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,https://m.media-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg,Paramount Pictures,PG-13,22-Dec-10,TRUE,96,110,True Grit,http://www.truegritmovie.com/,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",2010,tt1403865,7.6,271560,13,-1.0
13,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",4 wins & 12 nominations.,163100000,"USA, UK, Australia",27-Jul-10,Louis Leterrier,"Action, Adventure, Fantasy",English,39.0,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",https://m.media-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,Warner Bros.,PG-13,2-Apr-10,TRUE,27,106,Clash of the Titans,http://clash-of-the-titans.warnerbros.com/,"Travis Beacham (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Beverley Cross",2010,tt0800320,5.8,249587,14,-1.0
14,"Adam Sandler, Kevin James, Chris Rock, David Spade",3 wins & 4 nominations.,162001186,USA,9-Nov-10,Dennis Dugan,Comedy,"English, Spanish",30.0,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SX300.jpg,Sony Pictures,PG-13,25-Jun-10,TRUE,10,102,Grown Ups,http://www.sonypictures.com/movies/grownups/,"Adam Sandler, Fred Wolf",2010,tt1375670,6.0,202781,15,-1.0
15,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman",3 wins & 5 nominations.,148383780,USA,5-Apr-11,Paul Weitz,"Comedy, Romance","English, Ukrainian",27.0,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",https://m.media-amazon.com/images/M/MV5BMTkwNjE3NjQwOV5BMl5BanBnXkFtZTcwNzAyNTMwNA@@._V1_SX300.jpg,Universal Pictures,PG-13,22-Dec-10,TRUE,9,98,Little Fockers,http://www.littlefockers.net/,"John Hamburg, Larry Stuckey, Greg Glienna (characters), Mary Ruth Clarke (characters)",2010,tt0970866,5.5,95822,16,-1.0
16,"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill",2 wins & 16 nominations.,148244405,USA,25-Feb-11,Tom McGrath,"Animation, Action, Comedy",English,63.0,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg,Paramount Studios/DWA,PG,5-Nov-10,TRUE,72,95,Megamind,http://www.megamind.com/,"Alan Schoolcraft, Brent Simons",2010,tt1001526,7.3,199366,17,-1.0
17,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",Won 4 Oscars. Another 102 wins & 194 nominations.,138300000,"UK, USA, Australia",19-Apr-11,Tom Hooper,"Biography, Drama, History",English,88.0,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,The Weinstein Company,R,25-Dec-10,TRUE,95,118,The King's Speech,http://www.kingsspeech.com/,David Seidler (screenplay),2010,tt1504320,8.0,570852,18,-1.0
18,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone",8 wins & 11 nominations.,131564731,USA,16-Nov-10,M. Night Shyamalan,"Action, Adventure, Family",English,20.0,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",https://m.media-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SX300.jpg,Paramount Pictures,PG,1-Jul-10,TRUE,6,103,The Last Airbender,http://www.TheLastAirbenderMovie.com/,M. Night Shyamalan,2010,tt0938283,4.1,132933,19,-1.0
19,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",9 wins & 62 nominations.,125001000,USA,8-Jun-10,Martin Scorsese,"Mystery, Thriller","English, German",63.0,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.",https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Paramount Studios,R,19-Feb-10,TRUE,69,138,Shutter Island,http://www.shutterisland.com/,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",2010,tt1130884,8.1,949720,20,-1.0
20,"Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes",3 wins & 15 nominations.,119219978,USA,14-Dec-10,Adam McKay,"Action, Comedy, Crime","English, Ukrainian",64.0,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",https://m.media-amazon.com/images/M/MV5BMTc0NDQzNTA2Ml5BMl5BanBnXkFtZTcwNzI2OTQzMw@@._V1_SX300.jpg,Columbia Pictures,PG-13,6-Aug-10,TRUE,78,107,The Other Guys,http://www.theotherguys-movie.com/,"Adam McKay, Chris Henchy",2010,tt1386588,6.7,213326,21,-1.0
21,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",Nominated for 1 Oscar. Another 4 wins & 15 nominations.,118311368,USA,21-Dec-10,Phillip Noyce,"Action, Crime, Mystery","English, Russian, Korean",65.0,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,https://m.media-amazon.com/images/M/MV5BMjIyODA2NDg4NV5BMl5BanBnXkFtZTcwMjg4NDAwMw@@._V1_SX300.jpg,Sony Pictures,PG-13,23-Jul-10,TRUE,62,100,Salt,http://www.sonypictures.com/movies/salt/,Kurt Wimmer,2010,tt0944835,6.4,269714,22,-1.0
22,"Johnny Knoxville, Bam Margera, Ryan Dunn, Steve-O",1 win & 4 nominations.,117222007,USA,8-Mar-11,Jeff Tremaine,"Documentary, Action, Comedy",English,56.0,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",https://m.media-amazon.com/images/M/MV5BMjI3NTQ1NTE4OV5BMl5BanBnXkFtZTcwMzEzMzA3NA@@._V1_SX300.jpg,Paramount Pictures/MTV Films,R,15-Oct-10,TRUE,65,94,Jackass 3D,http://www.jackassmovie.com/,"Jeff Tremaine (concepts by), Johnny Knoxville (concepts by), Bam Margera (concepts by), Steve-O (concepts by), Chris Pontius (concepts by), Ryan Dunn (concepts by), Jason 'Wee Man' AcuÌ±a (concepts by), Preston Lacy (concepts by), Ehren McGhehey (concepts by), Dave England (concepts by), Spike Jonze (concepts by), Loomis Fall (concepts by), Barry Owen Smoler (concepts by), The Dudesons (concepts by), Dave Carnie (concepts by), Mike Kassak (concepts by), Madison Clapp (concepts by), Knate Lee (concepts by), Derek Freda (concepts by), Trip Taylor (concepts by), Sean Cliver (concepts by), Dimitry Elyashkevich (concepts by), J.P. Blackmon (concepts by), Rick Kosick (concepts by), Harrison Stone",2010,tt1116184,7.0,51930,23,-1.0
23,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper",7 wins & 12 nominations.,110500000,USA,18-May-10,Garry Marshall,"Comedy, Romance","English, Spanish, Russian, Italian",34.0,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_SX300.jpg,New Line Cinema/Warner Bros. Pictures,PG-13,12-Feb-10,TRUE,18,125,Valentine's Day,http://www.valentinesdaymovie.com/,"Katherine Fugate (screenplay), Katherine Fugate (story), Abby Kohn (story), Marc Silverstein (story)",2010,tt0817230,5.7,104135,24,-1.0
24,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 91 wins & 257 nominations.,106952327,USA,29-Mar-11,Darren Aronofsky,"Drama, Thriller","English, French, Italian",79.0,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,Fox Searchlight,R,17-Dec-10,TRUE,85,108,Black Swan,http://www.BlackSwan2010.com/,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010,tt0947798,8.0,620089,25,-1.0
25,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt",1 win & 14 nominations.,105219735,"USA, UK",21-Sep-10,Ridley Scott,"Action, Adventure, Drama","English, French, Ukrainian",53.0,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,Universal,PG-13,14-May-10,TRUE,43,140,Robin Hood,http://www.robinhoodthemovie.com/,"Brian Helgeland (screenplay), Brian Helgeland (story), Ethan Reiff (story), Cyrus Voris (story)",2010,tt0955308,6.7,233414,26,-1.0
26,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,104383624,USA,8-Apr-11,Michael Apted,"Adventure, Family, Fantasy",English,53.0,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",https://m.media-amazon.com/images/M/MV5BNjQ2MDQzMzExNl5BMl5BanBnXkFtZTcwMTYzOTc5Mw@@._V1_SX300.jpg,20th Century Fox,PG,10-Dec-10,TRUE,50,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,http://www.narnia.com/,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Michael Petroni (screenplay), C.S. Lewis (novel)",2010,tt0980970,6.3,123271,27,-1.0
27,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",3 wins & 5 nominations.,102981571,USA,23-Nov-10,Sylvester Stallone,"Action, Adventure, Thriller","English, Spanish",45.0,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,https://m.media-amazon.com/images/M/MV5BNTUwODQyNjM0NF5BMl5BanBnXkFtZTcwNDMwMTU1Mw@@._V1_SX300.jpg,Lionsgate Films,R,13-Aug-10,TRUE,42,103,The Expendables,http://expendablesthemovie.com/,"Dave Callaham (screenplay), Sylvester Stallone (screenplay), Dave Callaham (story)",2010,tt1320253,6.5,297884,28,-1.0
28,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx",7 nominations.,100448498,USA,22-Feb-11,Todd Phillips,"Comedy, Drama","English, Spanish",51.0,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,https://m.media-amazon.com/images/M/MV5BMTU5MTgxODM3Nl5BMl5BanBnXkFtZTcwMjMxNDEwNA@@._V1_SX300.jpg,Warner Bros. Pictures,R,5-Nov-10,TRUE,40,95,Due Date,http://duedatemovie.warnerbros.com/,"Alan R. Cohen (screenplay), Alan Freedland (screenplay), Adam Sztykiel (screenplay), Todd Phillips (screenplay), Alan R. Cohen (story), Alan Freedland (story)",2010,tt1231583,6.6,295303,29,-1.0
29,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh",2 wins & 1 nomination.,100169068,"USA, New Zealand",22-Mar-11,Eric Brevig,"Animation, Adventure, Comedy",English,35.0,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",https://m.media-amazon.com/images/M/MV5BMTczMjU1NTQ0M15BMl5BanBnXkFtZTcwMjIxMTA3Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,17-Dec-10,TRUE,13,80,Yogi Bear,http://yogibear.warnerbros.com/,"J.R. Ventimilia, Joshua Sternin, Brad Copeland, Joseph Barbera (characters), William Hanna (characters)",2010,tt1302067,4.6,18345,30,-1.0
30,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson",4 wins & 8 nominations.,98710290,USA,10-Aug-10,Shawn Levy,"Comedy, Crime, Romance","English, Hebrew",56.0,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",https://m.media-amazon.com/images/M/MV5BODgwMjM2ODE4M15BMl5BanBnXkFtZTcwMTU2MDcyMw@@._V1_SX300.jpg,20th Century Fox,PG-13,9-Apr-10,TRUE,67,88,Date Night,http://www.datenight-movie.com/,Josh Klausner,2010,tt1279935,6.3,139940,31,-1.0
31,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",Won 3 Oscars. Another 165 wins & 168 nominations.,96400000,USA,11-Jan-11,David Fincher,"Biography, Drama","English, French",95.0,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",https://m.media-amazon.com/images/M/MV5BMTM2ODk0NDAwMF5BMl5BanBnXkFtZTcwNTM1MDc2Mw@@._V1_SX300.jpg,Columbia Pictures,PG-13,1-Oct-10,TRUE,95,120,The Social Network,http://www.thesocialnetwork-movie.com/,"Aaron Sorkin (screenplay), Ben Mezrich (book)",2010,tt1285016,7.7,546709,32,-1.0
32,"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall",8 wins & 9 nominations.,95328937,USA,26-Oct-10,Michael Patrick King,"Comedy, Drama, Romance","English, Arabic",27.0,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,R,27-May-10,TRUE,15,146,Sex and the City 2,http://sexandthecitymovie.com/,"Michael Patrick King, Candace Bushnell (characters from the book by), Darren Star (television series creator)",2010,tt1261945,4.4,66301,33,-1.0
33,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson",3 wins & 16 nominations.,94800000,USA,15-Jun-10,"Albert Hughes, Allen Hughes","Action, Adventure, Drama",English,53.0,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,Warner Bros. Pictures,R,15-Jan-10,TRUE,47,118,The Book of Eli,http://thebookofeli.warnerbros.com/,Gary Whitta,2010,tt1037705,6.9,259151,34,-1.0
34,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",Won 2 Oscars. Another 72 wins & 116 nominations.,93571803,USA,15-Mar-11,David O. Russell,"Biography, Drama, Sport",English,79.0,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,Paramount Pictures,R,17-Dec-10,TRUE,90,116,The Fighter,http://www.TheFighterMovie.com/,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)",2010,tt0964517,7.8,305622,35,-1.0
35,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",Nominated for 1 Oscar. Another 9 wins & 45 nominations.,92173235,USA,17-Dec-10,Ben Affleck,"Crime, Drama, Thriller",English,74.0,"As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the F.B.I. Agent looking to bring him and his crew down.",https://m.media-amazon.com/images/M/MV5BMTcyNzcxODg3Nl5BMl5BanBnXkFtZTcwMTUyNjQ3Mw@@._V1_SX300.jpg,Warner Bros. Pictures,R,17-Sep-10,TRUE,93,125,The Town,http://www.thetownmovie.com/,"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)",2010,tt0840361,7.6,311082,36,-1.0
36,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",1 win & 10 nominations.,90755643,USA,14-Sep-10,Mike Newell,"Action, Adventure, Fantasy",English,50.0,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,https://m.media-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,28-May-10,TRUE,36,116,Prince of Persia: The Sands of Time,http://Disney.com/PrinceOfPersia,"Boaz Yakin (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay), Jordan Mechner (screen story), Jordan Mechner (video game series ""Prince of Persia"")",2010,tt0473075,6.6,246222,37,-1.0
