Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",Nominated for 10 Oscars. Another 37 wins & 153 nominations.,"$171,031,347",USA,7-Jun-11,"Ethan Coen, Joel Coen","Adventure, Drama, Western",7.6/10,English,80/100,80,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,https://m.media-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg,Paramount Pictures,PG-13,22-Dec-10,TRUE,96%,110 min,True Grit,movie,http://www.truegritmovie.com/,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",2010,tt1403865,7.6,"271,560",13,
"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",4 wins & 12 nominations.,"$163,100,000","USA, UK, Australia",27-Jul-10,Louis Leterrier,"Action, Adventure, Fantasy",5.8/10,English,39/100,39,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",https://m.media-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,Warner Bros.,PG-13,2-Apr-10,TRUE,27%,106 min,Clash of the Titans,movie,http://clash-of-the-titans.warnerbros.com/,"Travis Beacham (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Beverley Cross",2010,tt0800320,5.8,"249,587",14,
"Adam Sandler, Kevin James, Chris Rock, David Spade",3 wins & 4 nominations.,"$162,001,186",USA,9-Nov-10,Dennis Dugan,Comedy,6.0/10,"English, Spanish",30/100,30,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SX300.jpg,Sony Pictures,PG-13,25-Jun-10,TRUE,10%,102 min,Grown Ups,movie,http://www.sonypictures.com/movies/grownups/,"Adam Sandler, Fred Wolf",2010,tt1375670,6,"202,781",15,
"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman",3 wins & 5 nominations.,"$148,383,780",USA,5-Apr-11,Paul Weitz,"Comedy, Romance",5.5/10,"English, Ukrainian",27/100,27,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",https://m.media-amazon.com/images/M/MV5BMTkwNjE3NjQwOV5BMl5BanBnXkFtZTcwNzAyNTMwNA@@._V1_SX300.jpg,Universal Pictures,PG-13,22-Dec-10,TRUE,9%,98 min,Little Fockers,movie,http://www.littlefockers.net/,"John Hamburg, Larry Stuckey, Greg Glienna (characters), Mary Ruth Clarke (characters)",2010,tt0970866,5.5,"95,822",16,
"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill",2 wins & 16 nominations.,"$148,244,405",USA,25-Feb-11,Tom McGrath,"Animation, Action, Comedy",7.3/10,English,63/100,63,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg,Paramount Studios/DWA,PG,5-Nov-10,TRUE,72%,95 min,Megamind,movie,http://www.megamind.com/,"Alan Schoolcraft, Brent Simons",2010,tt1001526,7.3,"199,366",17,
"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",Won 4 Oscars. Another 102 wins & 194 nominations.,"$138,300,000","UK, USA, Australia",19-Apr-11,Tom Hooper,"Biography, Drama, History",8.0/10,English,88/100,88,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,The Weinstein Company,R,25-Dec-10,TRUE,95%,118 min,The King's Speech,movie,http://www.kingsspeech.com/,David Seidler (screenplay),2010,tt1504320,8,"570,852",18,
"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone",8 wins & 11 nominations.,"$131,564,731",USA,16-Nov-10,M. Night Shyamalan,"Action, Adventure, Family",4.1/10,English,20/100,20,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",https://m.media-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SX300.jpg,Paramount Pictures,PG,1-Jul-10,TRUE,6%,103 min,The Last Airbender,movie,http://www.TheLastAirbenderMovie.com/,M. Night Shyamalan,2010,tt0938283,4.1,"132,933",19,
"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",9 wins & 62 nominations.,"$125,001,000",USA,8-Jun-10,Martin Scorsese,"Mystery, Thriller",8.1/10,"English, German",63/100,63,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.",https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Paramount Studios,R,19-Feb-10,TRUE,69%,138 min,Shutter Island,movie,http://www.shutterisland.com/,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",2010,tt1130884,8.1,"949,720",20,
"Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes",3 wins & 15 nominations.,"$119,219,978",USA,14-Dec-10,Adam McKay,"Action, Comedy, Crime",6.7/10,"English, Ukrainian",64/100,64,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.",https://m.media-amazon.com/images/M/MV5BMTc0NDQzNTA2Ml5BMl5BanBnXkFtZTcwNzI2OTQzMw@@._V1_SX300.jpg,Columbia Pictures,PG-13,6-Aug-10,TRUE,78%,107 min,The Other Guys,movie,http://www.theotherguys-movie.com/,"Adam McKay, Chris Henchy",2010,tt1386588,6.7,"213,326",21,
"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",Nominated for 1 Oscar. Another 4 wins & 15 nominations.,"$118,311,368",USA,21-Dec-10,Phillip Noyce,"Action, Crime, Mystery",6.4/10,"English, Russian, Korean",65/100,65,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,https://m.media-amazon.com/images/M/MV5BMjIyODA2NDg4NV5BMl5BanBnXkFtZTcwMjg4NDAwMw@@._V1_SX300.jpg,Sony Pictures,PG-13,23-Jul-10,TRUE,62%,100 min,Salt,movie,http://www.sonypictures.com/movies/salt/,Kurt Wimmer,2010,tt0944835,6.4,"269,714",22,
"Johnny Knoxville, Bam Margera, Ryan Dunn, Steve-O",1 win & 4 nominations.,"$117,222,007",USA,8-Mar-11,Jeff Tremaine,"Documentary, Action, Comedy",7.0/10,English,56/100,56,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",https://m.media-amazon.com/images/M/MV5BMjI3NTQ1NTE4OV5BMl5BanBnXkFtZTcwMzEzMzA3NA@@._V1_SX300.jpg,Paramount Pictures/MTV Films,R,15-Oct-10,TRUE,65%,94 min,Jackass 3D,movie,http://www.jackassmovie.com/,"Jeff Tremaine (concepts by), Johnny Knoxville (concepts by), Bam Margera (concepts by), Steve-O (concepts by), Chris Pontius (concepts by), Ryan Dunn (concepts by), Jason 'Wee Man' Acu̱a (concepts by), Preston Lacy (concepts by), Ehren McGhehey (concepts by), Dave England (concepts by), Spike Jonze (concepts by), Loomis Fall (concepts by), Barry Owen Smoler (concepts by), The Dudesons (concepts by), Dave Carnie (concepts by), Mike Kassak (concepts by), Madison Clapp (concepts by), Knate Lee (concepts by), Derek Freda (concepts by), Trip Taylor (concepts by), Sean Cliver (concepts by), Dimitry Elyashkevich (concepts by), J.P. Blackmon (concepts by), Rick Kosick (concepts by), Harrison Stone",2010,tt1116184,7,"51,930",23,
"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper",7 wins & 12 nominations.,"$110,500,000",USA,18-May-10,Garry Marshall,"Comedy, Romance",5.7/10,"English, Spanish, Russian, Italian",34/100,34,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_SX300.jpg,New Line Cinema/Warner Bros. Pictures,PG-13,12-Feb-10,TRUE,18%,125 min,Valentine's Day,movie,http://www.valentinesdaymovie.com/,"Katherine Fugate (screenplay), Katherine Fugate (story), Abby Kohn (story), Marc Silverstein (story)",2010,tt0817230,5.7,"104,135",24,
"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 91 wins & 257 nominations.,"$106,952,327",USA,29-Mar-11,Darren Aronofsky,"Drama, Thriller",8.0/10,"English, French, Italian",79/100,79,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,Fox Searchlight,R,17-Dec-10,TRUE,85%,108 min,Black Swan,movie,http://www.BlackSwan2010.com/,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010,tt0947798,8,"620,089",25,
"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt",1 win & 14 nominations.,"$105,219,735","USA, UK",21-Sep-10,Ridley Scott,"Action, Adventure, Drama",6.7/10,"English, French, Ukrainian",53/100,53,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,Universal,PG-13,14-May-10,TRUE,43%,140 min,Robin Hood,movie,http://www.robinhoodthemovie.com/,"Brian Helgeland (screenplay), Brian Helgeland (story), Ethan Reiff (story), Cyrus Voris (story)",2010,tt0955308,6.7,"233,414",26,
"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,"$104,383,624",USA,8-Apr-11,Michael Apted,"Adventure, Family, Fantasy",6.3/10,English,53/100,53,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",https://m.media-amazon.com/images/M/MV5BNjQ2MDQzMzExNl5BMl5BanBnXkFtZTcwMTYzOTc5Mw@@._V1_SX300.jpg,20th Century Fox,PG,10-Dec-10,TRUE,50%,113 min,The Chronicles of Narnia: The Voyage of the Dawn Treader,movie,http://www.narnia.com/,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Michael Petroni (screenplay), C.S. Lewis (novel)",2010,tt0980970,6.3,"123,271",27,
"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",3 wins & 5 nominations.,"$102,981,571",USA,23-Nov-10,Sylvester Stallone,"Action, Adventure, Thriller",6.5/10,"English, Spanish",45/100,45,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,https://m.media-amazon.com/images/M/MV5BNTUwODQyNjM0NF5BMl5BanBnXkFtZTcwNDMwMTU1Mw@@._V1_SX300.jpg,Lionsgate Films,R,13-Aug-10,TRUE,42%,103 min,The Expendables,movie,http://expendablesthemovie.com/,"Dave Callaham (screenplay), Sylvester Stallone (screenplay), Dave Callaham (story)",2010,tt1320253,6.5,"297,884",28,
"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx",7 nominations.,"$100,448,498",USA,22-Feb-11,Todd Phillips,"Comedy, Drama",6.6/10,"English, Spanish",51/100,51,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,https://m.media-amazon.com/images/M/MV5BMTU5MTgxODM3Nl5BMl5BanBnXkFtZTcwMjMxNDEwNA@@._V1_SX300.jpg,Warner Bros. Pictures,R,5-Nov-10,TRUE,40%,95 min,Due Date,movie,http://duedatemovie.warnerbros.com/,"Alan R. Cohen (screenplay), Alan Freedland (screenplay), Adam Sztykiel (screenplay), Todd Phillips (screenplay), Alan R. Cohen (story), Alan Freedland (story)",2010,tt1231583,6.6,"295,303",29,
"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh",2 wins & 1 nomination.,"$100,169,068","USA, New Zealand",22-Mar-11,Eric Brevig,"Animation, Adventure, Comedy",4.6/10,English,35/100,35,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",https://m.media-amazon.com/images/M/MV5BMTczMjU1NTQ0M15BMl5BanBnXkFtZTcwMjIxMTA3Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,17-Dec-10,TRUE,13%,80 min,Yogi Bear,movie,http://yogibear.warnerbros.com/,"J.R. Ventimilia, Joshua Sternin, Brad Copeland, Joseph Barbera (characters), William Hanna (characters)",2010,tt1302067,4.6,"18,345",30,
"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson",4 wins & 8 nominations.,"$98,710,290",USA,10-Aug-10,Shawn Levy,"Comedy, Crime, Romance",6.3/10,"English, Hebrew",56/100,56,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",https://m.media-amazon.com/images/M/MV5BODgwMjM2ODE4M15BMl5BanBnXkFtZTcwMTU2MDcyMw@@._V1_SX300.jpg,20th Century Fox,PG-13,9-Apr-10,TRUE,67%,88 min,Date Night,movie,http://www.datenight-movie.com/,Josh Klausner,2010,tt1279935,6.3,"139,940",31,
"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",Won 3 Oscars. Another 165 wins & 168 nominations.,"$96,400,000",USA,11-Jan-11,David Fincher,"Biography, Drama",7.7/10,"English, French",95/100,95,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",https://m.media-amazon.com/images/M/MV5BMTM2ODk0NDAwMF5BMl5BanBnXkFtZTcwNTM1MDc2Mw@@._V1_SX300.jpg,Columbia Pictures,PG-13,1-Oct-10,TRUE,95%,120 min,The Social Network,movie,http://www.thesocialnetwork-movie.com/,"Aaron Sorkin (screenplay), Ben Mezrich (book)",2010,tt1285016,7.7,"546,709",32,
"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall",8 wins & 9 nominations.,"$95,328,937",USA,26-Oct-10,Michael Patrick King,"Comedy, Drama, Romance",4.4/10,"English, Arabic",27/100,27,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",https://m.media-amazon.com/images/M/MV5BMTM3OTUyNTI3MF5BMl5BanBnXkFtZTcwODcyMzM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,R,27-May-10,TRUE,15%,146 min,Sex and the City 2,movie,http://sexandthecitymovie.com/,"Michael Patrick King, Candace Bushnell (characters from the book by), Darren Star (television series creator)",2010,tt1261945,4.4,"66,301",33,
"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson",3 wins & 16 nominations.,"$94,800,000",USA,15-Jun-10,"Albert Hughes, Allen Hughes","Action, Adventure, Drama",6.9/10,English,53/100,53,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,Warner Bros. Pictures,R,15-Jan-10,TRUE,47%,118 min,The Book of Eli,movie,http://thebookofeli.warnerbros.com/,Gary Whitta,2010,tt1037705,6.9,"259,151",34,
"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",Won 2 Oscars. Another 72 wins & 116 nominations.,"&pound;93,571,803",USA,15-Mar-11,David O. Russell,"Biography, Drama, Sport",7.8/10,English,79/100,79,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,Paramount Pictures,R,17-Dec-10,TRUE,90%,116 min,The Fighter,movie,http://www.TheFighterMovie.com/,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)",2010,tt0964517,7.8,"305,622",35,
"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",Nominated for 1 Oscar. Another 9 wins & 45 nominations.,"$92,173,235",USA,17-Dec-10,Ben Affleck,"Crime, Drama, Thriller",7.6/10,English,74/100,74,"As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the F.B.I. Agent looking to bring him and his crew down.",https://m.media-amazon.com/images/M/MV5BMTcyNzcxODg3Nl5BMl5BanBnXkFtZTcwMTUyNjQ3Mw@@._V1_SX300.jpg,Warner Bros. Pictures,R,17-Sep-10,TRUE,93%,125 min,The Town,movie,http://www.thetownmovie.com/,"Peter Craig (screenplay), Ben Affleck (screenplay), Aaron Stockard (screenplay), Chuck Hogan (novel)",2010,tt0840361,7.6,"311,082",36,
